Season,TeamID,TeamName,538rating
2016,3163,Connecticut,113.09
2016,3124,Baylor,101.59
2016,3323,Notre Dame,101.07
2016,3376,South Carolina,101.07
2016,3268,Maryland,99.01
2016,3333,Oregon State,95.42
2016,3326,Ohio State,93.9
2016,3400,Texas,93.58
2016,3390,Stanford,92.4
2016,3257,Louisville,92.24
2016,3199,Florida State,91.5
2016,3113,Arizona State,91.32
2016,3246,Kentucky,90.97
2016,3177,DePaul,90.08
2016,3277,Michigan State,90.07
2016,3417,UCLA,89.93
2016,3393,Syracuse,89.59
2016,3280,Mississippi State,89.46
2016,3397,Tennessee,88.93
2016,3401,Texas A&M,88.71
2016,3378,South Florida,88.52
2016,3328,Oklahoma,87.47
2016,3452,West Virginia,87
2016,3274,Miami (FL),86.51
2016,3449,Washington,86.47
2016,3208,Georgia,84.53
2016,3343,Princeton,84.15
2016,3196,Florida,83.36
2016,3329,Oklahoma State,83.28
2016,3453,Green Bay,83.06
2016,3241,James Madison,83.04
2016,3345,Purdue,83.02
2016,3203,George Washington,82.9
2016,3281,Missouri,82.9
2016,3231,Indiana,82.85
2016,3385,St. John's (NY),82.19
2016,3371,Seton Hall,81.76
2016,3107,Albany (NY),80.9
2016,3182,Duquesne,80.74
2016,3243,Kansas State,80.28
2016,3120,Auburn,80.17
2016,3140,Brigham Young,80.17
2016,3161,Colorado State,80.15
2016,3355,South Dakota State,80.11
2016,3119,Army,79.02
2016,3335,Pennsylvania,78.59
2016,3292,Middle Tennessee,78.25
2016,3382,St. Bonaventure,77.32
2016,3151,Chattanooga,76.47
2016,3283,Missouri State,75.75
2016,3362,San Francisco,74.26
2016,3218,Hawaii,74.1
2016,3225,Idaho,72.69
2016,3125,Belmont,72.64
2016,3308,New Mexico State,71.42
2016,3233,Iona,71.24
2016,3138,Buffalo,71.12
2016,3239,Jacksonville,69.99
2016,3407,Troy,68.25
2016,3146,Central Arkansas,66.93
2016,3421,North Carolina-Asheville,66.13
2016,3352,Robert Morris,64.62
2016,3299,North Carolina A&T,64.33
2016,3106,Alabama State,59.87
2017,3163,Connecticut,111.43
2017,3124,Baylor,104.45
2017,3323,Notre Dame,101.2
2017,3376,South Carolina,100.32
2017,3268,Maryland,96.27
2017,3390,Stanford,95.07
2017,3449,Washington,94.81
2017,3280,Mississippi State,94.69
2017,3400,Texas,94.37
2017,3199,Florida State,94.36
2017,3333,Oregon State,93.24
2017,3257,Louisville,92.24
2017,3417,UCLA,91.74
2017,3181,Duke,90.94
2017,3326,Ohio State,90.5
2017,3393,Syracuse,89.29
2017,3246,Kentucky,89.12
2017,3397,Tennessee,88.89
2017,3452,West Virginia,88.26
2017,3274,Miami (FL),88.19
2017,3177,DePaul,87.94
2017,3113,Arizona State,87.68
2017,3401,Texas A&M,85.97
2017,3328,Oklahoma,85.68
2017,3243,Kansas State,84.48
2017,3301,North Carolina State,84.37
2017,3453,Green Bay,84.36
2017,3277,Michigan State,84.28
2017,3281,Missouri,83.86
2017,3332,Oregon,83.06
2017,3378,South Florida,82.58
2017,3143,California,82.52
2017,3345,Purdue,82.06
2017,3235,Iowa State,81.33
2017,3396,Temple,81.23
2017,3211,Gonzaga,81.07
2017,3261,Louisiana State,80.97
2017,3120,Auburn,80.45
2017,3443,Western Kentucky,80.25
2017,3166,Creighton,79.96
2017,3266,Marquette,79.73
2017,3179,Drake,79.43
2017,3173,Dayton,78.32
2017,3189,Elon,77.86
2017,3346,Quinnipiac,77.11
2017,3320,Northern Iowa,77.1
2017,3195,Florida Gulf Coast,76.81
2017,3405,Toledo,76.26
2017,3151,Chattanooga,76.21
2017,3335,Pennsylvania,75.79
2017,3125,Belmont,73.32
2017,3129,Boise State,73.12
2017,3137,Bucknell,72.37
2017,3107,Albany (NY),72.03
2017,3442,Western Illinois,71.83
2017,3253,Long Beach State,71.27
2017,3286,Montana State,71.12
2017,3308,New Mexico State,70.78
2017,3407,Troy,70.54
2017,3146,Central Arkansas,68.04
2017,3214,Hampton,66.02
2017,3352,Robert Morris,64.43
2017,3411,Texas Southern,62.72
